Time,ManagementArea,Prescription,HarvestedSites,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_BetuAlle,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,CohortsHarvested_CastDent,
110, 4, TimberBoomClearcuts, 2350, 1731, 1112, 4585, 40, 590, 1253, 0, 597, 135, 371, 0, 274, 631, 584, 2599, 9, 0, 0, 4522, 176, 13, 2343, 4001, 112, 292, 0, 1, 31, 7, 80, 0, 0, 0, 0, 2348, 926, 0, 2508, 2060, 323, 0, 0, 0, 0, 9, 0, 0, 3, 7205, 
110, 1, TimberBoomClearcuts, 2988, 1693, 2119, 9304, 83, 1003, 3841, 0, 903, 1109, 883, 0, 374, 1171, 2582, 7175, 11, 0, 14, 9293, 400, 417, 3087, 7030, 331, 1573, 0, 2, 102, 89, 209, 0, 0, 0, 0, 4828, 2156, 0, 6039, 6093, 1815, 1, 0, 19, 0, 1, 0, 0, 30, 18608, 
110, 2, TimberBoomClearcuts, 2454, 1484, 1757, 7585, 108, 956, 2025, 0, 937, 463, 586, 0, 291, 1232, 1466, 5600, 6, 0, 0, 7436, 296, 32, 3063, 6566, 266, 662, 0, 0, 144, 36, 226, 0, 0, 0, 0, 3994, 2207, 0, 4626, 6433, 1240, 0, 0, 0, 0, 8, 0, 0, 7, 15411, 
120, 4, TimberBoomClearcuts, 2520, 648, 674, 2776, 17, 131, 387, 0, 122, 90, 194, 2, 102, 278, 470, 1010, 8, 0, 0, 2702, 159, 24, 1289, 1833, 176, 448, 0, 12, 1, 0, 39, 0, 0, 0, 0, 1567, 360, 0, 1756, 206, 31, 0, 0, 0, 0, 1, 0, 0, 0, 3091, 
120, 1, TimberBoomClearcuts, 3319, 4415, 2634, 10246, 182, 1307, 3852, 0, 784, 706, 711, 4, 407, 1291, 1922, 7070, 13, 0, 0, 9870, 586, 189, 4195, 8483, 472, 1243, 0, 19, 76, 0, 157, 0, 0, 0, 0, 5832, 2081, 0, 6059, 5854, 1747, 0, 0, 3, 0, 19, 0, 0, 29, 18820, 
120, 2, TimberBoomClearcuts, 2910, 3098, 2036, 8860, 132, 1694, 3385, 0, 1342, 415, 509, 0, 659, 1449, 1285, 5651, 15, 0, 1, 8326, 421, 23, 4910, 8007, 155, 433, 0, 0, 156, 18, 133, 0, 0, 2, 0, 5345, 2476, 0, 5250, 5686, 1487, 0, 0, 0, 0, 2, 0, 0, 9, 15979, 
130, 4, TimberBoomClearcuts, 2377, 1099, 662, 2730, 35, 295, 627, 0, 142, 60, 84, 0, 139, 304, 345, 877, 4, 0, 0, 2315, 134, 5, 1691, 2235, 76, 191, 0, 2, 5, 1, 32, 0, 0, 0, 0, 1732, 419, 0, 1875, 197, 39, 0, 0, 1, 0, 3, 0, 0, 3, 3344, 
130, 1, TimberBoomClearcuts, 3043, 3596, 2299, 9455, 106, 814, 1800, 0, 634, 283, 448, 0, 319, 1418, 1186, 5962, 3, 0, 0, 9529, 646, 33, 3962, 8780, 392, 399, 0, 16, 305, 1, 186, 0, 0, 0, 0, 5052, 2279, 0, 5363, 5142, 1593, 0, 0, 0, 0, 12, 0, 0, 22, 16769, 
130, 2, TimberBoomClearcuts, 2456, 3869, 1807, 7505, 108, 1528, 3199, 0, 1158, 172, 304, 1, 758, 1057, 981, 4553, 7, 0, 0, 6931, 252, 13, 4203, 7108, 183, 455, 0, 0, 151, 37, 121, 0, 0, 0, 0, 4903, 2167, 0, 4542, 4430, 769, 0, 0, 0, 0, 0, 0, 0, 10, 12906, 
140, 4, ChestnutBlight, 4572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7851, 
140, 1, ChestnutBlight, 9322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25336, 
140, 2, ChestnutBlight, 8240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21479, 
150, 4, ChestnutBlight, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 
150, 1, ChestnutBlight, 1068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1068, 
150, 2, ChestnutBlight, 893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 893, 
160, 4, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
160, 1, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
160, 2, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
170, 4, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
170, 1, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
170, 2, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
180, 4, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
180, 1, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
180, 2, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
190, 4, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
190, 1, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
190, 2, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 4, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 1, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 2, ChestnutBlight, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
